State_Code,PropertyState,Status,Staus_updated
12,FL,2,Rejected
12,FL,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
18,IN,1,Accepted
37,NC,2,Rejected
20,KS,1,Accepted
6,CA,2,Rejected
27,MN,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
20,KS,2,Rejected
12,FL,2,Rejected
12,FL,2,Rejected
12,FL,2,Rejected
48,TX,1,Accepted
48,TX,1,Accepted
48,TX,1,Accepted
48,TX,1,Accepted
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
12,FL,2,Rejected
53,WA,1,Accepted
53,WA,1,Accepted
55,WI,1,Accepted
6,CA,1,Accepted
36,NY,1,Accepted
40,OK,1,Accepted
40,OK,1,Accepted
40,OK,1,Accepted
40,OK,1,Accepted
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
51,VA,1,Accepted
24,MD,1,Accepted
25,MA,2,Rejected
25,MA,2,Rejected
25,MA,2,Rejected
25,MA,2,Rejected
25,MA,2,Rejected
36,NY,1,Accepted
36,NY,1,Accepted
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
12,FL,1,Accepted
12,FL,2,Rejected
12,FL,2,Rejected
48,TX,1,Accepted
48,TX,1,Accepted
48,TX,1,Accepted
37,NC,2,Rejected
37,NC,2,Rejected
37,NC,2,Rejected
37,NC,2,Rejected
37,NC,2,Rejected
37,NC,2,Rejected
37,NC,2,Rejected
37,NC,2,Rejected
37,NC,2,Rejected
37,NC,2,Rejected
37,NC,2,Rejected
37,NC,2,Rejected
26,MI,2,Rejected
6,CA,1,Accepted
6,CA,1,Accepted
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
18,IN,2,Rejected
37,NC,1,Accepted
13,GA,2,Rejected
13,GA,2,Rejected
13,GA,2,Rejected
51,VA,1,Accepted
34,NJ,1,Accepted
34,NJ,1,Accepted
34,NJ,2,Rejected
34,NJ,2,Rejected
34,NJ,2,Rejected
34,NJ,1,Accepted
34,NJ,1,Accepted
34,NJ,1,Accepted
39,OH,1,Accepted
39,OH,1,Accepted
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
48,TX,1,Accepted
4,AZ,1,Accepted
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,1,Accepted
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
10,DE,1,Accepted
48,TX,2,Rejected
48,TX,2,Rejected
48,TX,2,Rejected
48,TX,2,Rejected
48,TX,2,Rejected
48,TX,2,Rejected
48,TX,2,Rejected
48,TX,2,Rejected
41,OR,1,Accepted
34,NJ,1,Accepted
39,OH,2,Rejected
39,OH,2,Rejected
39,OH,2,Rejected
39,OH,2,Rejected
34,NJ,1,Accepted
34,NJ,1,Accepted
16,ID,1,Accepted
16,ID,1,Accepted
45,SC,2,Rejected
45,SC,2,Rejected
45,SC,2,Rejected
45,SC,2,Rejected
45,SC,2,Rejected
22,LA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
42,PA,2,Rejected
32,NV,1,Accepted
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,1,Accepted
4,AZ,1,Accepted
4,AZ,1,Accepted
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
6,CA,2,Rejected
19,IA,1,Accepted
19,IA,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
24,MD,2,Rejected
24,MD,2,Rejected
51,VA,2,Rejected
51,VA,2,Rejected
51,VA,2,Rejected
51,VA,2,Rejected
51,VA,2,Rejected
51,VA,2,Rejected
51,VA,2,Rejected
51,VA,2,Rejected
51,VA,2,Rejected
51,VA,2,Rejected
48,TX,1,Accepted
37,NC,2,Rejected
37,NC,2,Rejected
36,NY,2,Rejected
36,NY,2,Rejected
42,PA,1,Accepted
42,PA,1,Accepted
42,PA,1,Accepted
39,OH,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
41,OR,2,Rejected
37,NC,1,Accepted
37,NC,1,Accepted
37,NC,1,Accepted
37,NC,1,Accepted
34,NJ,2,Rejected
34,NJ,2,Rejected
34,NJ,2,Rejected
34,NJ,2,Rejected
34,NJ,2,Rejected
34,NJ,2,Rejected
34,NJ,2,Rejected
34,NJ,2,Rejected
34,NJ,2,Rejected
34,NJ,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
25,MA,2,Rejected
25,MA,2,Rejected
25,MA,2,Rejected
25,MA,2,Rejected
25,MA,2,Rejected
25,MA,2,Rejected
6,CA,1,Accepted
12,FL,1,Accepted
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
32,NV,2,Rejected
26,MI,2,Rejected
26,MI,2,Rejected
5,AR,2,Rejected
5,AR,1,Accepted
5,AR,1,Accepted
5,AR,1,Accepted
48,TX,1,Accepted
34,NJ,2,Rejected
34,NJ,2,Rejected
24,MD,1,Accepted
8,CO,2,Rejected
8,CO,2,Rejected
8,CO,2,Rejected
8,CO,2,Rejected
8,CO,1,Accepted
36,NY,2,Rejected
36,NY,2,Rejected
36,NY,2,Rejected
36,NY,2,Rejected
27,MN,1,Accepted
26,MI,1,Accepted
26,MI,1,Accepted
26,MI,1,Accepted
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,2,Rejected
23,ME,1,Accepted
17,IL,2,Rejected
17,IL,2,Rejected
17,IL,2,Rejected
17,IL,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
4,AZ,2,Rejected
